Price,Address,Bedrooms,Description,Postcode
11251000,"71 Bondway, London, SW8 1SF",5,"** THE HEIGHT OF LUXURY IN AN EXCEPTIONAL SETTING** Limited availability for this exclusive penthouse in newly built Damac Tower. With views spanning the north-west of London, this 5 bedroom Versace branded penthouse...",SW8
6500000,"16 Wotton Road, Cricklewood, NW2 6PX",5,"A unique opportunity to secure this superbly re-modelled and beautifully appointed former aircraft factory, spanning some 12,689 sq ft of mixed use living/working space in a sought after Gladstone Park/Willesden loca...",NW2
3500000,"Kensington Court Place, London, W8 5BJ",3,We are pleased to offer this superb three bedroom townhouse arranged over four floors boasting a total area of 1901 sq ft (178.3 sq m). Kensington Court Place is a quiet street south of Kensington Gardens and close t...,W8
2571000,"71 Bondway, London, SW8 1SF",3,"** CITY VIEWS OF THE OVAL CRICKET GROUND AND CANARY WHARF ** A new level of luxury has arrived in the heart of London. In an exclusive partnership with Versace Home, DAMAC Tower brings you the ultimate in branded liv...",SW8
2495000,"Princes Gate, London, SW7 2QG",3,"We are pleased to offer this exceptional 3 bedroom, 2 bathroom apartment, situated on the 4th floor of this prestigious secure mansion block, with 24 hour porterage. The apartment is accessed through a secure gate ...",SW7
2400000,"Finchley Road, London, NW11 7HB",6,"We are delighted to offer this beautifully presented semi detached property that is finished to a very high standard, with an attached self-contained annex totalling six bedrooms, 4 bathrooms, a guest WC and 3 fully f...",NW11
2390000,"71 Bondway, London, SW8 1SF",3,"** BRAND NEW 3 BEDROOM APARTMENT IN LUXURY NEWLY BUILT DAMAC TOWER ** Views of the river Thames and Battersea are not all this fantastic apartment has to offer, with the home and developments design inspired by Versa...",SW8
2000000,"Powys Lane, London, N13 4HR",6,**POTENTIAL DEVELOPMENT OPPERTUNITY (STPP)**OVERSIZED SUBSTANTIAL PLOT**HIGHLY SOUGHT AFTER LOCATION OVERLOOKING BROOMFIELD PARK** A rarely available substantial property spanning approx. 5000sq ft which has been in t...,N13
2000000,"Beatty Road, London, N16 8EB",6,"A Substantial SIX/SEVEN BEDROOM end of terrace house enviably located in one of Stoke Newington's desirable residential turnings, within walking distance to Rectory Road Station and the beautiful Clissold Park. This...",N16
1753000,"71 Bondway, London, SW8 1SF",2,"** FAN OF CRICKET? WITH DIRECT OF VIEWS OF THE OVAL CRICKET GROUND, THIS APARTMET WILL NOT DISSAPOINT! ** A new level of luxury has arrived in the heart of London. In an exclusive partnership with Versace Home, DAMAC...",SW8
1750000,"Watford Way, London, NW7 3JH",7,"""Chain Free"" Purplebricks are pleased to offer this well presented six/seven bedrooms detached house, set back off The Watford Way and conveniently located within the catchment for a number of popular schools Purplbr...",NW7
1707000,"71 Bondway, London, SW8 1SF",2,The Property ** FANTASTIC VIEWS ** 2 bedroom apartment with interiors designed by Versace Home and views across the river Thames and east London from the private winter gardens... the height of luxury! The Developme...,SW8
1700000,"Burton Road, West Hampstead, NW6 7LW",6,"Exceptionally rare opportunity to purchase this substantial terraced property, superbly located on the borders of West Hampstead and North Maida Vale, boasting off street parking for two cars and generous private gard...",NW6
1650000,"Riverwalk Apartments- 5 Central Avenue, Fulham, SW6 2GQ",2,"A fantastic two -bedroom modern duplex apartment boasting River Thames views. This chic and stylish apartment boasts high end finishes with open plan living and high-end kitchen, the modern kitchen has fully integrate...",SW6
1650000,"Wray Crescent, Finsbury Park, N4 3LP",8,"An extremely unique offering either a large grand family home or an excellent development opportunity of 4 flats over 2500 sq ft. This property offers: large garden, in need of modernisation, great opportunity. Wray...",N4
1550000,"Sandwell Crescent, London, NW6 1PB",5,A rare opportunity to purchase one of the last original character houses in the area. The property has been in the same family for many decades and offers the new owner the chance to create a stunning family home. T...,NW6
1500000,"Bromells Road, Clapham, SW4 0BG",3,"A recently modernised and high spec three storey townhouse set within a private gated development with off street parking. Moments from Clapham Common, Old Town and the popular Venn Street with its restaurants, bars,...",SW4
1500000,"Narbonne Avenue, Clapham Abbeville Village, SW4 9LQ",4,A wonderful chance to write the next chapter in the history of a family home. Large homes like this displaying a wealth of original features rarely come up for sale and not often in a condition where one can simply r...,SW4
1450000,"Second Avenue, Barnes Mortlake, SW14 8QF",4,"A charming example of a 4 bedroom family home in a lovely quiet, peaceful and desirable part of South West London. This area has deservedly earned itself a reputation as a great place to live - houses do not come up...",SW14
1395000,"Acacia Road, Hampton, TW12 3DS",4,This modern & substantial semi-detached family house is in a premier residential road very close to LEH and Hampton Schools. It is impeccably well-presented and offers balanced accommodation throughout arranged over t...,TW12
1330000,"71 Bondway, London, SW8 1SF",1,"** YOUR NEW HOME OR A NEW INVESTMENT? - THE APARTMENTS WITHIN THE DAMAC TOWER ARE UNLIKE ANY OTHER, ENQUIRE NOW ** Recently finished in build, the Damac Tower is the most iconic new development within the city. With ...",SW8
1300000,"32 Westferry Circus, London, E14 8RH",2,"Stunning, luxury two double bedroom apartment in an enviable location on canary wharf This property comprises of two double bedrooms, a large open plan reception, diner and kitchen designed for modern living, 2.5 bat...",E14
1298000,"Beaumont Crescent, London, W14 9PE",4,"“Could this be the place you are looking for? * your own private cinema * interior designed, totally renovated * understated luxury, easy living * 3/4 bedrooms, 3 baths * integrated Bosch kitchen dining * first floor...",W14
1250000,"Sixth Cross Road, Twickenham, TW2 5PE",4,"A rare opportunity to purchase an immaculately presented four bedroom detached family home, offering space in abundance and located in one of the sought after roads in Twickenham. The property has been beautifully d...",TW2
1250000,"Tanza Road, London, NW3 2UA",2,"We are pleased to offer this beautifully located two bedroom flat with private patio and direct access on to Hampstead Heath. Consisting of reception room, fitted kitchen which opens to a large breakfast area/diner, ...",NW3
1250000,"Addington Drive, London, N12 0PH",5,"A Stunning, Extended five double bedroom LINK DETACHED HOUSE WITH VERSATILE ANNEX measuring 2230 sq ft, enviably located just 0.7 miles to West Finchley Station and within walking distance to the array of shops & ame...",N12
1250000,"Swakeleys Road, Ickenham, UB10 8DR",7,"This substantial detached family home is a must see and one that's not to be missed, as it has been tastefully decorated and maintained by the current owner with attention to detail and a high standard throughout. The...",UB10
1200000,"Raith Avenue, London, N14 7DU",4,"A MOST STUNNING, EXTENDED semi-detached house enviably located within the sought after Minchenden Estate, walking distance of Arnos Park and just 0.5 Miles to Arnos Grove Station (Piccadilly Line). The property is pr...",N14
1200000,"Portman Gardens, Uxbridge, UB10 9NT",6,"Purplebricks are excited to present this very spacious, five/six bedroom detached family home to the market. The property boasts an incredible floor space comprising over 2,300 ft², including five spacious bedrooms, t...",UB10
1200000,"Shrubland Road, Hackney, E8 4NH",8,"Ideal for families or investors as a buy to let alike, this large well-maintained eight-bedroom house, is now ready to view. On the ground floor, you are welcomed by a good size reception, a large kitchen/diner, a W...",E8
1195000,"Waldegrave Road, Teddington, TW11 8NA",5,"CHAIN FREE An extended family home benefiting from off street parking and a rear garden with a home office/studio. The entrance hall gives access to a downstairs shower room, three reception rooms and large kitchen ...",TW11
1150000,"Atwood Road, Chiswick, W6 0HX",3,The Property - HOUSE,W6
1150000,"Enfield Road, Enfield, EN2 7HB",4,Purplebricks are delighted to offer for sale this substantial 4 bedroom detached house With stunning views of open countryside The property boasts over 2150 sq. Ft of flexible accommodation starting on the ground flo...,EN2
1150000,"St. Ann's Park Road, Wandsworth, SW18 2RW",3,"This lovely mid-terrace three-bedroom house, comprised of a spacious open-plan reception room with natural light beaming through and space for a large dining area. Leading onto the kitchen and well-maintained private ...",SW18
1150000,"Clifton Gardens, Temple Fortune, NW11 7EL",6,"Substantial 6/7 bedroom semi detached property with private garden, In a popular centrally located area of Temple Fortune close to transport links, shops, and amenities. The property offers a clean and sound blank can...",NW11
1150000,"Hillbrook Road, Tooting, SW17 8SG",4,"A meticulously refurbished and exquisitely presented four bedroom freehold detached home, holding a prominent position on one of the most desirable roads in Tooting Bec. The property boasts 1,636 sq ft of unique, outs...",SW17
1125000,"Gap Road, Wimbledon, SW19 8JG",5,An attractive and spacious Five Bedroom and Two Bathroom Semi-Detached Victorian House with off-street parking and very large private South-facing garden on Gap Road in Wimbledon SW19. Set over 3 floors this stunnin...,SW19
1100000,"Evelyn Road, Wimbledon, SW19 8NU",4,"This beautiful four-bedroom Victorian home is comprised of a spacious and immaculate reception room, leading through to an open plan dining room and fully extended kitchen. A functional island, with built in breakfast...",SW19
1100000,"Gillespie Road, Highbury, N5 1LP",3,"Exceptionally charming and superbly presented three bedroom Victorian end of terrace property ideally located in the heart of Highbury, moments from excellent transport links and amenities. The property has been beaut...",N5
1100000,"Crystal Palace Road, London, SE22 9JH",4,"This extremely wide Victorian four double bedroom, semi-detached house is situated right in the centre of East Dulwich, just off Lordship Lane close to Heber Primary school. This semi-detached house affords good, ad...",SE22
1089000,"Anselm Road, London, SW6 1LJ",2,"Bright and spacious traditional Victorian split-level flat, finished to the highest standards including Spacious kitchen/diner leading to private roof terrace 2 Large bedrooms 2 Bathrooms with marble tiles Air condit...",SW6
1067000,"Earl's Court Square, London, SW5 9DJ",2,"A great opportunity to acquire this stunning, bright and spacious, two double bedroom flat situated on the 4th floor (with lift) in this prestigious mansion block. Newly refurbished to a very high standard by a profe...",SW5
1060000,"Mansell Road, London, W3 7QH",3,"A beautifully spacious and welcoming family home arranged over three floors, set on a quiet street of attractive period houses in central Acton. The property has a generous reception with a large kitchen and potenti...",W3
1000000,"71 Bondway, London, SW8 1SF",1,"** THE HEIGHT OF LUXURY AT DAMAC TOWER ** A new level of luxury has arrived in the heart of London. In an exclusive partnership with Versace Home, DAMAC Tower brings you the ultimate in branded living experiences. S...",SW8
1000000,"Lyndhurst Drive, London, E10 6JD",5,** Book viewings 24/7 instantly by visiting our website Purplebricks.co.uk or download our App ** This is a fantastic opportunity to own a rare to the market double fronted period house located on the popular Lyndhur...,E10
1000000,"Queen Elizabeths Drive, London, N14 6RE",4,"Offered with no onward chain is this rare to market double fronted four bedroom, two bathroom semi-detached house with huge garden and own drive with garage. Boasting over 2,000sq ft of internal floor space. Located ...",N14
1000000,"Norfolk House Road, Streatham, SW16 1JL",5,"Presenting a stunning, large (c. 2,000 sqft) Victorian 5-bedroom home in the centre of Streatham with approved planning permission for a loft extension and side return with Party Wall Agreements already in place. Thi...",SW16
1000000,"Trinity Road, London, N22 8XX",4,"A rare opportunity to acquire a beautifully presented detached four bedroom, three bathroom Victorian home, with no onward chain. Over 2,200 square feet of bright living space arranged over three floors, with off-stre...",N22
995000,"Cruikshank Street, London, WC1X 9HF",3,"A beautiful 1st floor, three bedroom, maisonette boasting spacious accommodation combined with well-presented décor throughout and own front door. Sunny aspect Lounge and spacious kitchen/diner. The property also ben...",WC1
990000,"Grantham Road, Brixton Stockwell, SW9 9DJ",4,"Newly presented to the market, we have this magnificent family home which has been in the same ownership for the past 52 years. Full of period features and both elegantly and effortlessly charming, this voluminous 3 ...",SW9
990000,"Whitmore Road, Harrow, HA1 4AG",5,"This extended five bedroom semi-detached house in one of Harrow’s most sought after roads, provides a spacious and well-balanced family home, close to Harrow-On-The-Hill with its abundant amenities, popular schools, s...",HA1
985000,"Elm Park, Stanmore, HA7 4AU",3,"Very well presented three bedroom detached house set in an enviable location in a no-through road (emergency access only) just a short walk from Stanmore station. The property offers elegant, well appointed accommoda...",HA7
965000,"Crowborough Road, Tooting, SW17 9QF",3,"A beautifully presented and well-proportioned 3-bedroom house in the heart of Furzedown. This property has been fully refurbished and is presented in excellent condition, vacant and with no onward chain. Features incl...",SW17
964000,"71 Bondway, London, SW8 1SF",1,"**THE HEIGHT OF LUXURY** A new level of luxury has arrived in the heart of London. In an exclusive partnership with Versace Home, DAMAC Tower brings you the ultimate in branded living experiences. Presenting a One B...",SW8
960000,"Warwick Drive, Putney, SW15 6LB",3,"A spacious and bright three bedroom house with private rear garden, garage parking, large reception space and attractive tree-lined approach on a desirable and quiet cul-de-sac ideally located between Putney and Barne...",SW15
955500,"The Fairway, London, W3 7PU",5,Purplebricks are proud to present this rare opportunity to acquire this five-bedroom semi-detached house situated within the Gold Estate of East Acton. The Fairway is situated near Western Avenue and benefits from ...,W3
950000,"London Road, Wadhurst, TN5 7PH",4,"This characterful period property was built in 1869 and was once a post office, the property has since been converted into a wonderful family home offering fantastic original features and generous accommodation. The...",TN5
950000,"Kennet Street, London, E1W 2JJ",3,"Boasting accommodation spanning in excess of 1200 sq feet and arranged over three floors, is this superbly appointed three bedroom town house located in the highly sought after west Wapping area. This property comes f...",E1
925000,"Kneller Road, London, SE4 2AR",4,"Very rare to the market is this four double bedroom family home located on a quiet residential road within Brockley. This property is ideally located for outstanding schools, parks and has excellent transport links. A...",SE4
915000,"Walthamstow Central,, London, E17 7QN",4,The Property: Located in the sought after Walthamstow central is this spacious four bedroom semi-detached family home. The property is larger than average and offers approximately 1407 square foot of flexible accommo...,E17
900000,"St. Aidans Road, London, SE22 0RP",3,"A fantastic family home, adorned with period charm and character throughout with a tasteful elegant and contemporary finish in a highly sought-after area, situated on a quiet residential road in the centre of East Dul...",SE22
900000,"84 Alie Street, London, E1 8QD",1,"This apartment represents the epitome of contemporary 21st century London living - that cosmopolitan city lifestyle that you have long aspired towards can now become a reality! Forming part of the highly regarded, ...",E1
900000,"Seward Road, London, W7 2JS",3,"Three spacious double bedroom, semi-detached house with driveway & side access in Hanwell situated on a quiet residential road. The property boasts original Victorian features, with a working fireplace, double glazed ...",W7
900000,"Woodside Avenue, Woodside Park, N12 8AN",5,"Deceptively spacious three storey townhouse in sought after residential area of North Finchley, boasting off street parking, integral garage and mature garden to the rear with decked and lawned areas as well as attrac...",N12
900000,"Cranston Road, London, SE23 2EY",3,"Located in Forest Hill, is this attractive four bedroom 1930's mid terrace home. Ideal for a family looking for a spacious house situated on a quiet residential street made up of similar homes. The property has been...",SE23
900000,"Salmon Street, Kingsbury, NW9 8NY",4,"Substantial four bedroom semi detached property with delightful large mature private garden, garage and off street parking for up to three cars, enviably situated in a sought after quiet Kingsbury location. The prope...",NW9
900000,"Langroyd Road, Tooting, SW17 7PL",3,"This lovely three bedroom end of terraced house comprises of a double reception room , large kitchen with space for a dining area leading onto the private garden. This home also boasts three double bedroom, family b...",SW17
900000,"125-127 Park Road, St Johns Wood, NW8 7JS",2,*** CHAIN FREE PROPERTY *** Purplebricks are delighted to offer this bright seventh floor two bedroom apartment with its own allocated parking space. This iconic grade II listed building is situ...,NW8
900000,"Haynt Walk, Wimbledon, SW20 9NX",3,"A Rare Development Site Opportunity with planning permission recently granted for conversion of 3 bedroom semi-detached house and grounds to 2 garden maisonettes with 2 flats above with communal gardens, resident and...",SW20
900000,"Kirkley Road, Wimbledon, SW19 3AY",3,"This three-bedroom Edwardian house comprises of a spacious reception room, a second reception room/dining room leading to the kitchen, shower room and a private garden. The first floor has three good-sized bedrooms an...",SW19
899000,"Fordwych Road, West Hampstead, NW2 3TN",4,"Spacious four bedroom split level period style property, offered to the market with no onward chain and superbly situated within just a short walk of West Hampstead and Kilburn stations. The property offers bright an...",NW2
895000,"The Croft, Hounslow, TW5 0EF",6,"Six Bedrooms Semi-Detached House nestled on quiet residential road, close to all local amenities and links. Comprises spacious living and dining rooms, fitted kitchen, three bathrooms, additional W.C. and six bedroo...",TW5
895000,"Weir Road, Balham, SW12 0NB",2,"This stunning two bedroom detached house, within a gated entrance, comprises a generous front garden and space to park a number of vehicles. There is a bright and spacious Kitchen/ Dining room – perfect for entertaini...",SW12
875000,"St. Margarets Road, Edgware, HA8 9UU",5,"""Chain Free with Huge Potential For Investment "" This four/five bedroom semi detached house in very good condition from top to bottom, Located in this sought after quiet spot in St. Margarets Road in the heart of Edgw...",HA8
875000,"Dog Lane, Neasden, NW10 1PN",5,"Substantial and significantly extended five bedroom, three bathroom, semi detached family home with private garden and ample off street parking, conveniently situated close to Neasden station and amenities. The prope...",NW10
875000,"Edgware Road, London, W2 2QT",3,"A spacious three bedroom apartment on the seventh floor in the well known Park West, W2 London with an outstanding view of Edgware Road and Marble Arch. Park West is a well located portered block. It offers resident...",W2
850000,"Robson Avenue, Willesden, NW10 3SG",4,"Attractive four bedroom semi detached family home with delightful private garden and off street parking, conveniently located moments from Roundwood Park, and within easy reach of Willesden Green and Dollis Hill stati...",NW10
850000,"Rutley Close, London, SE17 3NP",4,"Representing in good condition is this delightfully spacious, split level purpose built maisonette, situated on Rutley Close. The property comprises four bedrooms, generous size reception perfect for entertaining, kit...",SE17
850000,"97 Regency Street, Westminster, SW1P 4AL",2,"** PROPERTY MARKET REMAINS OPEN FOR VIEWINGS & VALUATIONS IN PERSON OR BY VIRTUAL APPOINTMENT ** Beautifully presented two bedroom, two bathroom, first floor flat, set within a stunning gated Edwardian red brick ...",SW1
850000,"Maida Vale, London, W9 1RH",4,We are pleased to offer a spacious four bedroom flat in a portered block with casual off street parking and a communal garden. The property is situated on the fourth floor and is of approximately 1055 sq ft (98 sq m)...,W9
850000,"Deynecourt Gardens, Wanstead, E11 2BU",4,"***CHAIN FREE*** Purplebricks is proud to present this four-bedroom 1930s semi-detached house offering stylish and contemporary living space throughout, beautifully maintained by its current tenant As you enter, you...",E11
850000,"Hendon Way, London, NW2 2LY",3,"We are pleased to offer an extended semi detached house which has been well maintained by the current owner. Comprises of three good size bedrooms, family bathroom plus shower room, large reception room with open pla...",NW2
850000,"Kynance Gardens, Stanmore, HA7 2QL",4,"GREAT SIZE & LOCATION - Take a look at this wonderful, extended, family-sized Semi Detached home offering Four/Five Bedrooms and Two Bathrooms. With modern fittings throughout, you don't want to miss out on this one. ...",HA7
840000,"Park View, London, W3 0PU",4,"We are delighted to offer this four bedroom end of terrace family home arranged over three floors. The house has circa 1,525 square foot of internal floor space (including a summer house) and retains the potential to...",W3
840000,"Worple Way, Harrow, HA2 9SR",5,"This lovely, extended five bedroom detached house in Rayners Lane is newly refurbished, well located in a desirable area and provides a spacious home in excellent condition for the growing family. The ground floor ac...",HA2
835000,"Dover House Road, Putney, SW15 5AA",3,"A well-presented and sensibly proportioned 3 bedroom Freehold house on the desirable Dover House Road. Ideal for a young family, the house is in good condition and ready for new occupants, while its size (over 1,115 s...",SW15
835000,"71 Bondway, London, SW8 1SF",1,"** DESIGN INSPIRED BY VERSCAE, BRAND NEW LUXURIOUS APARTMENTS IN THE HEART OF THE CITY** A new level of luxury has arrived in the heart of London. In an exclusive partnership with Versace Home, DAMAC Tower brings you...",SW8
830000,"Lupus Street, London, SW1V 3DZ",2,"A great opportunity to acquire this beautiful bright and spacious two double bedroom garden flat, situated in this stucco fronted period building. Finished to the highest standards throughout, this property comprises...",SW1
829950,"Wolsey Close, Southall, UB2 4NQ",4,"Wolsey Close is a quiet cul de sac off Windmill Lane, built in 1947. Number 18 is at the end of the road on the largest plot. There is a very useful service road running at the back of the houses, which provides anoth...",UB2
825000,"Miranda Road, Archway, N19 3RB",3,"Well presented, light and spacious three bedroom split level period style apartment with direct access to own section of part-walled garden, superbly located close to transport links and road routes. The property, of...",N19
825000,"St. Edmunds Drive, Stanmore, HA7 2AT",4,"Guide Price £800,000 to £825,000 An absolutely stunning four bedroom Semi Detached corner house refurbished to a a high standard throughout boasting a side double storey extension. The owners have created a home of ...",HA7
825000,"Edenvale Street, Fulham Sands End, SW6 2SE",2,"A well presented 2 bedroom flat with generous private garden. Having entered through your own private entrance and past the 2 double bedrooms, the property boasts an open-plan kitchen/reception room that works perfect...",SW6
825000,"Haredon Close, Forest Hill, London, SE23 3TG",4,"This stunning and versatile mid-century, end of terraced house comes with four bedrooms, a landscaped garden, off street parking for two cars and is situated on a peaceful cul de sac. The house is also one of the larg...",SE23
825000,"Rochelle Close, Battersea Clapham Junction, SW11 2RX",3,"A 3 bedroom Freehold house with private garden. The house is laid out over three floors and contains 3 double bedrooms, 3 bathrooms and a separate WC. The first floor is an open plan kitchen with reception room and t...",SW11
825000,"Kingshurst Road, London, SE12 9LD",5,"A beautiful five bedroom, extended 1930s semi-detached family home is now available on the quiet and peaceful Kingshurst Road. This extended property is in very good decorative order with features including, high ce...",SE12
825000,"Chilton Street, London, E2 6DZ",3,"***Book online 24/7 with Purplebricks app*** A fantastic opportunity to own this well-maintained 3-bedroom townhouse, now ready to view. Boasting 1,123 approx of great living space, in our opinion this large home is...",E2
820000,"28 Hillcrest Road, London, W5 1HH",3,"Recently refurbished, bright and spacious 3 bedroom flat on 6th floor of a popular block with secure gated access. Far reaching views over Hanger Hill Park , Harrow, Wembley Stadium and the communal swimming pool. ...",W5
820000,"Brantwood Gardens, Enfield, EN2 7LZ",3,Wonderful opportunity to purchase this stunning extended 3 bedroom semi detached house. The property boasts of a large extended kitchen/diner with generous reception room to rear. Downstairs w.c and front reception r...,EN2
818000,"Cotton Row, Battersea Riverside, SW11 3YS",2,"A beautifully presented two double-bedroom apartment with private balcony and direct river views, in a popular riverside development in SW11. It is one of the largest properties in the building at over 1,000 sq ft an...",SW11
